Name,NA,EU,JP,Other
Star Ocean: The Last Hope International,0.28,0.16,0.22,0.08
The Sims 2: Castaway,0.63,0.05,0,0.06
FIFA: Road to World Cup 98,0.14,0.09,0.46,0.05
Dragon Ball Z: Ultime Menace,0,0,0.73,0
Classic NES Series: Donkey Kong,0.4,0.15,0.17,0.01
Call of Duty: Ghosts,0.23,0.41,0,0.09
Yoshi,0,0,0.73,0
Mortal Kombat 4,0.55,0.17,0,0.01
F1 2011,0.11,0.51,0.01,0.09
Madden NFL 10,0.63,0.04,0,0.06
Kirby: Canvas Curse,0.37,0,0.32,0.04
Croc 2,0.41,0.28,0,0.05
Practise English!,0,0,0.73,0
Oddworld: Munch's Oddysee,0.54,0.16,0,0.03
Berzerk,0.68,0.04,0,0.01
NHL 11,0.61,0.07,0,0.05
Dragon Age: Inquisition,0.32,0.34,0,0.07
iCarly,0.67,0.01,0,0.05
DiRT 3,0.23,0.41,0.01,0.08
NCAA Football 07,0.67,0,0,0.06
Just Dance Wii,0,0,0.73,0
Full Spectrum Warrior,0.54,0.16,0,0.03
Katamari Damacy,0.47,0.02,0.17,0.08
Beyblade VForce: Ultimate Blader Jam,0.52,0.19,0,0.01
Ratchet & Clank Collection,0.47,0.14,0.02,0.09
Avatar: The Game,0.33,0.32,0,0.08
Shaun Palmer's Pro Snowboarder,0.36,0.28,0,0.09
MX vs. ATV Reflex,0.52,0.15,0,0.06
Imagine: Interior Designer,0.34,0.31,0,0.08
SSX,0.38,0.28,0,0.06
Style Savvy: Trendsetters,0.16,0.02,0.53,0.01
James Bond 007: Agent Under Fire,0.56,0.15,0,0.02
XCOM: Enemy Unknown,0.26,0.36,0,0.1
Rabbids Go Home,0.35,0.3,0,0.07
Star Wars Episode III: Revenge of the Sith,0.52,0.19,0,0.01
Ultimate Spider-Man,0.6,0.02,0,0.1
FIFA Soccer 13,0.19,0.46,0,0.08
God Eater,0,0,0.72,0
Final Fantasy XIV: A Realm Reborn,0.32,0.22,0.08,0.1
SD Gundam G Generation,0,0,0.67,0.05
Area 51,0.4,0.27,0,0.05
NBA Live 08,0.59,0.02,0.01,0.1
Dead to Rights,0.53,0.17,0,0.03
Tiger Woods PGA Tour 07,0.6,0.02,0,0.1
Test Drive 6,0.4,0.27,0,0.05
Kouchuu Ouja Mushi King,0,0,0.7,0.02
LEGO Harry Potter: Years 5-7,0.35,0.3,0,0.07
Major League Baseball 2K7,0.67,0,0,0.05
X-Men: Mutant Academy 2,0.4,0.27,0,0.05
Terraria,0.35,0.31,0,0.06
Jampack Winter 2001,0.35,0.28,0,0.09
Kangaroo,0.67,0.04,0,0.01
James Bond 007: Blood Stone,0.18,0.38,0.02,0.13
Ben 10: Protector of Earth,0.23,0.31,0,0.18
Skate,0.62,0.04,0,0.06
Super Monkey Ball Jr.,0.51,0.19,0,0.01
Driver: San Francisco,0.25,0.39,0,0.08
MLB 09: The Show,0.66,0,0,0.05
Monster Hunter Tri,0.26,0.19,0.22,0.04
Mobile Suit Gundam: Encounters in Space,0.05,0.04,0.61,0.01
Catherine,0.3,0.15,0.2,0.07
Fear Effect,0.4,0.27,0,0.05
FIFA Soccer 11,0.13,0.5,0,0.09
Crysis,0,0.69,0,0.03
Battlefield: Bad Company 2,0.19,0.53,0,0
The Lord of the Rings: The Two Towers,0.45,0.24,0,0.03
Madden NFL 2003,0.67,0.02,0,0.03
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,0.18,0.01,0.5,0.02
MLB 13: The Show,0.66,0,0,0.05
Omerta: City of Gangsters,0.42,0.23,0,0.06
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,0.16,0.13,0.37,0.06
Virtua Fighter 4: Evolution,0.35,0.27,0,0.09
Top Spin 4,0.17,0.4,0,0.14
Resident Evil: Survivor,0.23,0.15,0.29,0.05
Dynasty Warriors 6,0.18,0.08,0.41,0.04
Super Trucks Racing,0.35,0.27,0,0.09
Persona Q: Shadow of the Labyrinth,0.33,0.07,0.27,0.04
Madden NFL 08,0.6,0.04,0,0.07
Godzilla: Destroy All Monsters Melee,0.55,0.14,0,0.02
Jeremy McGrath Supercross 2000,0.4,0.27,0,0.05
Conker: Live And Reloaded,0.49,0.2,0,0.02
Silent Hill 3,0.35,0.27,0,0.09
Madden NFL 09,0.65,0,0,0.06
Final Fantasy X/X-2 HD Remaster,0.29,0.25,0.06,0.11
Yu-Gi-Oh! The Falsebound Kingdom,0.49,0.13,0.07,0.02
LEGO Rock Band,0.42,0.22,0,0.07
MLB 10: The Show,0.66,0,0,0.05
Spyro: Enter the Dragonfly,0.55,0.14,0,0.02
Scooby-Doo 2: Monsters Unleashed,0.51,0.19,0,0.01
Power Rangers: Dino Thunder,0.35,0.27,0,0.09
Rhythm Heaven: The Best+,0,0,0.71,0
LEGO Racers,0.51,0.18,0,0.01
WWF Attitude,0.57,0.13,0,0.01
Blast Corps,0.39,0.09,0.17,0.06
LEGO Harry Potter: Years 1-4,0.14,0.37,0,0.19
Tactics Ogre: Let Us Cling Together,0,0,0.71,0
"WarioWare, Inc.: Mega Party Game$",0.2,0.05,0.44,0.02
Football Manager 2014,0,0.6,0,0.1
Battle Arena Toshinden 2,0.15,0.1,0.41,0.05
WWE SmackDown vs. Raw 2011,0.22,0.31,0,0.17
Jeopardy!,0.39,0.27,0,0.05
South Park,0.39,0.27,0,0.05
Metal Gear Solid V: The Phantom Pain,0.37,0.26,0.01,0.06
Two Worlds,0.41,0.23,0,0.07
Doom 3: Resurrection of Evil,0.53,0.15,0,0.03
NCAA Football 09,0.65,0,0,0.05
NBA Live 09,0.5,0.14,0,0.07
Ratchet & Clank: Into the Nexus,0.3,0.29,0,0.11
Spider-Man 2,0.35,0.21,0,0.14
2014 FIFA World Cup Brazil,0.15,0.39,0.01,0.16
London 2012: The Official Video Game of the Olympic Games,0.06,0.5,0,0.15
NHL 12,0.55,0.1,0,0.05
Tony Hawk's Underground,0.54,0.14,0,0.02
Infinite Undiscovery,0.34,0.18,0.12,0.06
Super Bomberman 3,0,0,0.7,0
Command & Conquer: Red Alert Retaliation,0.39,0.27,0,0.05
The Sims 2: Apartment Pets,0.32,0.31,0,0.07
Star Wars: Obi-Wan,0.52,0.16,0,0.02
NCAA Football 08,0.65,0,0,0.05
Kill.Switch,0.34,0.27,0,0.09
Lalaloopsy,0.54,0.1,0,0.06
Madden NFL 2005,0.54,0.14,0,0.02
F-14 Tomcat,0.5,0.19,0,0.01
SplashDown,0.34,0.27,0,0.09
NCAA Football 98,0.39,0.27,0,0.05
Jade Empire,0.48,0.19,0,0.03
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.28,0.3,0,0.12
The Sims 3,0.39,0.25,0,0.06
Skylanders: Trap Team,0.39,0.25,0,0.06
Prince of Persia: The Forgotten Sands,0.19,0.36,0.01,0.13
Chocobo's Dungeon 2,0.04,0.03,0.58,0.05
Advance Wars,0.5,0.19,0,0.01
Hannah Montana: The Movie,0.38,0.25,0,0.07
World of Zoo,0.43,0.2,0,0.06
Ape Escape: On the Loose,0.52,0.01,0.12,0.05
NASCAR 2001,0.34,0.27,0,0.09
IL-2 Sturmovik: Birds of Prey,0.34,0.26,0,0.1
Book of Spells,0.13,0.4,0,0.16
NCAA Football 2001,0.39,0.26,0,0.05
Mafia,0.34,0.27,0,0.09
Mobile Suit Gundam: Journey to Jaburo,0.16,0.13,0.36,0.04
Metal Gear Solid V: The Phantom Pain,0.21,0.18,0.22,0.08
TimeSplitters 2,0.34,0.27,0,0.09
MotionSports,0.38,0.26,0,0.06
MLB 08: The Show,0.64,0,0,0.05
Classic NES Series: Zelda II: The Adventure of Link,0.37,0.14,0.17,0.01
Fire Emblem: Monsh? no Nazo,0,0,0.7,0
Disney's Chicken Little,0.5,0.18,0,0.01
King Kong,0.65,0.04,0,0.01
WWE 2K15,0.38,0.26,0,0.06
The LEGO Movie Videogame,0.28,0.31,0.05,0.05
X-Men Origins: Wolverine - Uncaged Edition,0.42,0.21,0,0.06
Metal Gear Solid: Portable Ops Plus,0.26,0.01,0.26,0.17
Disney Tangled,0.47,0.17,0,0.05
Shrek the Third,0.54,0.1,0,0.06
Test Drive Unlimited 2,0.3,0.32,0,0.07
Moto Racer 2,0.39,0.26,0,0.05
Halo 2 Multiplayer Map Pack,0.54,0.13,0,0.02
Minecraft: Story Mode,0.25,0.33,0,0.11
Mortal Kombat: Shaolin Monks,0.58,0.02,0,0.09
MX vs. ATV Unleashed: On the Edge,0.64,0,0,0.05
Skylanders: Trap Team,0.24,0.33,0,0.12
Mario Pinball Land,0.5,0.18,0,0.01
Mappy,0,0,0.69,0
J-League Soccer: Prime Goal,0,0,0.69,0
Dragon Ball Z: Budokai,0.53,0.14,0,0.02
NFL Xtreme,0.38,0.26,0,0.05
The Sly Collection,0.52,0.09,0.01,0.07
One Piece: Pirate Warriors 2,0,0.2,0.42,0.07
Assassin's Creed IV: Black Flag,0.22,0.38,0,0.1
Harry Potter and the Chamber of Secrets,0.53,0.14,0,0.02
Need for Speed: Shift 2 Unleashed,0.2,0.36,0,0.13
The Lord of the Rings: The Return of the King,0.53,0.14,0,0.02
Nintendo Presents: New Style Boutique 2 - Fashion Forward,0.01,0.61,0.02,0.04
MX vs. ATV Untamed,0.55,0.08,0,0.06
The Last Remnant,0.25,0.2,0.18,0.06
Frozen: Olaf's Quest,0.28,0.35,0,0.06
The Sims: Medieval,0.27,0.32,0,0.1
Baldur's Gate: Dark Alliance II,0.34,0.26,0,0.09
Shark Tale,0.49,0.18,0,0.01
Plants vs. Zombies: Garden Warfare,0.39,0.23,0,0.06
Kirby's Dream Collection: Special Edition,0.34,0,0.33,0.02
Bakugan: Battle Brawlers,0.6,0.03,0,0.05
Star Wars: Masters of Teras Kasi,0.38,0.26,0,0.04
The Last Story,0.32,0.13,0.18,0.04
NBA Street Vol. 2,0.62,0.04,0,0.02
Iron Man,0.32,0.25,0,0.11
Disney Infinity 3.0,0.21,0.36,0,0.11
Spider-Man 3,0.26,0.29,0.02,0.12
NCAA Football 2005,0.63,0.02,0,0.03
Mortal Kombat Mythologies: Sub-Zero,0.38,0.26,0,0.04
Rayman Legends,0.26,0.33,0.03,0.06
Naruto: Clash of Ninja,0.53,0.14,0,0.02
Prince of Persia: The Two Thrones,0.57,0.02,0,0.09
Hot Shots Golf: Open Tee 2,0.21,0.11,0.28,0.08
Metro: Last Light,0.22,0.3,0.04,0.12
Fossil Fighters: Champions,0.32,0,0.34,0.02
Mercenaries: Playground of Destruction,0.54,0.11,0,0.03
Sniper Elite 3,0.22,0.33,0,0.13
Doom (2016),0.39,0.23,0,0.06
Bushido Blade 2,0.25,0.17,0.22,0.04
Suikoden II,0.15,0.1,0.38,0.04
Need for Speed (2015),0.3,0.33,0,0.06
Cars: Mater-National Championship,0.63,0.01,0,0.05
FIFA Soccer 06,0.29,0.38,0,0.01
Hidden Objects: Mystery Stories,0.19,0.43,0,0.05
Red Steel,0.55,0.04,0.04,0.05
Fight Night 2004,0.51,0.15,0,0.02
Tourist Trophy: The Real Riding Simulator,0.28,0.22,0.11,0.07
Mass Effect,0,0.59,0,0.09
.hack//Mutation Part 2,0.23,0.18,0.2,0.06
Country Dance,0.59,0.04,0,0.04
Turok,0.35,0.22,0.01,0.1
Midway Arcade Treasures 2,0.33,0.26,0,0.09
100 Classic Books,0.13,0.52,0,0.02
Unreal Tournament III,0.33,0.24,0,0.11
Final Fantasy Crystal Chronicles: Ring of Fates,0.22,0.01,0.42,0.02
Return to Castle Wolfenstein: Tides of War,0.49,0.16,0,0.02
Need for Speed Rivals,0.45,0.17,0,0.05
Lollipop Chainsaw,0.26,0.21,0.11,0.09
The Darkness,0.2,0.34,0,0.13
Street Sk8er,0.37,0.25,0,0.04
Club Penguin: Elite Penguin Force - Herbert's Revenge,0.4,0.22,0,0.06
Contra: Legacy of War,0.37,0.25,0,0.04
Blazing Angels: Squadrons of WWII,0.35,0.22,0,0.1
Fight Night Round 2004,0.46,0.18,0,0.03
Wolfenstein: The New Order,0.33,0.28,0,0.06
The Biggest Loser: Challenge,0.49,0.13,0,0.05
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,0,0,0.67,0
Spice World,0.37,0.25,0,0.04
Star Wars: Republic Commando,0.48,0.17,0,0.02
Armored Core 3,0.22,0.17,0.23,0.06
Need For Speed: Undercover,0.27,0.32,0,0.07
Taiko no Tatsujin Wii,0,0,0.67,0
The Witcher 3: Wild Hunt,0.2,0.42,0,0.05
Virtua Tennis: World Tour (US & Others sales),0.16,0.36,0,0.14
The LEGO Movie Videogame,0.24,0.31,0.01,0.11
Ratatouille,0.22,0.28,0,0.16
RIFT,0.44,0.16,0,0.07
Wild ARMs 2,0.19,0.13,0.31,0.04
Summer Sports: Paradise Island (Others sales),0,0.66,0,0.01
Castlevania: Lords of Shadow,0.42,0.18,0.01,0.05
BioShock Infinite,0.28,0.3,0,0.08
Minecraft: Story Mode,0.23,0.33,0,0.11
TV Show King Party,0.18,0.41,0,0.08
Crafting Mama,0.4,0.21,0.01,0.05
007: Quantum of Solace,0.3,0.29,0.01,0.07
Rock Band 3,0.56,0.06,0,0.05
Command & Conquer: Red Alert 3,0.01,0.64,0,0.02
The Fairly Odd Parents: Breakin Da Rules,0.33,0.25,0,0.09
WWE SmackDown vs. RAW 2007,0.33,0.2,0,0.14
Peppa Pig: Fun and Games,0,0.58,0,0.09
Adventures of Tron,0.63,0.03,0,0.01
Phoenix Wright: Ace Attorney - Trials and Tribulations,0.33,0.05,0.25,0.04
NHL 13,0.51,0.11,0,0.05
Borderlands: The Pre-Sequel,0.25,0.26,0.05,0.11
The Sims 3: High-End Loft Stuff,0.01,0.53,0,0.12
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.48,0.18,0,0.01
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,0,0,0.66,0
Pro Pinball: Big Race USA,0.37,0.25,0,0.04
NFL Street,0.49,0.15,0,0.02
Shaun White Snowboarding,0.31,0.24,0.01,0.1
The LEGO Movie Videogame,0.35,0.23,0.03,0.06
Tony Hawk's Proving Ground,0.55,0.02,0,0.09
MLB 2004,0.32,0.25,0,0.08
Naruto Shippuden: Ultimate Ninja 4,0.26,0.01,0.13,0.26
Tiger Woods PGA Tour 2000,0.37,0.25,0,0.04
Darkstone,0.37,0.25,0,0.04
NCAA March Madness 2003,0.32,0.25,0,0.08
Finding Nemo,0.48,0.16,0,0.02
Thrillville,0.55,0.02,0,0.09
NHL 10,0.51,0.1,0,0.06
Jikkyou World Soccer 2000 Final Edition,0,0,0.66,0
Madagascar,0.52,0.13,0,0.02
Puzzler Brain Games,0,0,0.66,0
Dragon Quest Monsters: Caravan Heart,0,0,0.64,0.02
Strawberry Shortcake: Summertime Adventure,0.47,0.18,0,0.01
Rayman Legends,0.14,0.38,0,0.14
Rocksmith 2014,0.35,0.24,0,0.07
Street Fighter Anniversary Collection,0.32,0.25,0,0.08
Legend of Legaia,0.37,0.25,0,0.04
Napoleon: Total War,0.02,0.52,0,0.12
Fist of the North Star: Ken's Rage,0.06,0.03,0.55,0.02
Wario: Master of Disguise,0.28,0.02,0.33,0.03
Toy Story 3: The Video Game,0.27,0.25,0,0.14
The Sims: Bustin' Out,0.43,0.2,0,0.03
Tiger Woods PGA Tour 09,0.34,0.22,0,0.1
Keystone Kapers,0.62,0.04,0,0.01
LEGO Marvel Super Heroes,0.15,0.35,0,0.16
New Play Control! Pikmin,0.29,0.14,0.19,0.04
Shrek: Hassle at the Castle,0.47,0.17,0,0.01
Suikoden IV,0.17,0.13,0.3,0.05
Gods Eater Burst,0.03,0,0.62,0
Disney's Kim Possible 2: Drakken's Demise,0.47,0.17,0,0.01
Um Jammer Lammy,0.12,0.08,0.41,0.04
Brothers In Arms: Road to Hill 30,0.49,0.14,0,0.02
Madden NFL 10,0.5,0.08,0,0.08
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.23,0.27,0,0.16
Taiko no Tatsujin DS: Touch de Dokodon!,0,0,0.66,0
F1 2015,0.09,0.44,0.03,0.09
Scene It? Box Office Smash,0.33,0.25,0,0.07
Animaniacs Ten Pin Alley,0.36,0.25,0,0.04
Disney Infinity 2.0: Marvel Super Heroes,0.38,0.22,0,0.06
NHL 13,0.33,0.22,0,0.1
Kung Fu Panda,0.24,0,0,0.41
Tom Clancy's EndWar,0.32,0.22,0.01,0.1
The Evil Within,0.35,0.25,0,0.05
Tiger Woods PGA Tour 09,0.35,0.23,0,0.07
Radiata Stories,0.18,0.14,0.29,0.05
F-Zero GX,0.41,0.11,0.12,0.02
Disney's Chicken Little,0.32,0.25,0,0.08
Wall-E,0.29,0.22,0,0.14
Yoshi Topsy-Turvy,0.25,0.09,0.3,0.01
Up,0.31,0.28,0,0.07
Monster Jam: Maximum Destruction,0.32,0.25,0,0.08
Real Heroes: Firefighter,0.56,0.04,0,0.05
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,0.47,0.17,0,0.01
World of Dragon Warrior - Torneko: The Last Hope,0.02,0.01,0.58,0.04
Drawn to Life: The Next Chapter,0.45,0.14,0,0.06
MLB 14: The Show,0.58,0,0,0.07
Tiger Woods PGA Tour 10,0.39,0.2,0,0.06
Advance Wars 2: Black Hole Rising,0.47,0.17,0,0.01
Fire Emblem: Shadow Dragon,0.31,0.03,0.27,0.03
Centipede,0.36,0.25,0,0.04
Drakengard,0.19,0.15,0.26,0.05
SingStar Pop Hits,0,0.5,0,0.15
Kung-Fu Master,0.6,0.04,0,0.01
Champions: Return to Arms,0.32,0.25,0,0.08
Harry Potter and the Goblet of Fire,0.54,0.02,0,0.09
SingStar R&B,0,0.05,0,0.6
Mary-Kate and Ashley: Magical Mystery Mall,0.36,0.24,0,0.04
MX vs. ATV Untamed,0.35,0.18,0,0.12
Disney Sing It: Party Hits,0.5,0.11,0,0.05
Dead or Alive 5,0.23,0.15,0.2,0.07
Star Ocean: First Departure,0.2,0.14,0.22,0.09
Super Robot Taisen Impact,0,0,0.65,0
Dragon Age: Inquisition,0.26,0.23,0.05,0.1
The Black Eyed Peas Experience,0.39,0.2,0,0.06
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,0,0,0.65,0
Sengoku Basara: Samurai Heroes,0.17,0.04,0.4,0.03
Crysis 3,0.17,0.39,0,0.09
Paws & Claws: Pet Vet,0.6,0,0,0.05
Harry Potter and the Half-Blood Prince,0.13,0.07,0,0.44
Crash Bandicoot Purple: Ripto's Rampage,0.46,0.17,0,0.01
Diablo III,0.35,0.24,0,0.05
Spyro: A Hero's Tail,0.32,0.25,0,0.08
Crash of the Titans,0.25,0.25,0,0.15
Aliens: Colonial Marines,0.2,0.31,0,0.13
Crash: Twinsanity,0.32,0.25,0,0.08
Test Drive Unlimited 2,0.16,0.35,0.01,0.12
Max Payne 2: The Fall of Max Payne,0.47,0.15,0,0.02
Dragon Ball: Raging Blast 2,0.49,0.09,0.01,0.05
GoldenEye: Rogue Agent,0.54,0.02,0,0.09
NBA 2K17,0.54,0.04,0,0.07
Lost Planet: Extreme Condition,0.31,0.17,0.07,0.09
XCOM: Enemy Unknown,0.36,0.23,0,0.05
Rayman 3D,0.23,0.35,0,0.06
LEGO Marvel's Avengers,0.25,0.29,0,0.1
James Bond 007: Everything or Nothing,0.43,0.19,0,0.02
X2: Wolverine's Revenge,0.31,0.24,0,0.08
Stuntman: Ignition,0.25,0.32,0,0.07
NBA Live 06,0.57,0.04,0,0.03
Dragon Age II,0.23,0.33,0,0.09
LEGO Star Wars II: The Original Trilogy,0.55,0.04,0,0.05
Tom Clancy's Rainbow Six,0.48,0.15,0,0.01
Castlevania,0.44,0.1,0.04,0.05
Rayman 2: The Great Escape,0.4,0.22,0,0.02
Nicktoons Collection: Game Boy Advance Video Volume 1,0.46,0.17,0,0.01
The Lord of the Rings: Conquest,0.37,0.21,0,0.06
TimeSplitters 2,0.29,0.33,0,0.01
Onimusha: Dawn of Dreams,0.15,0.12,0.34,0.04
NieR,0.17,0.2,0.2,0.07
The Princess and the Frog,0.41,0.17,0,0.06
Sega Rally Revo,0.07,0.43,0,0.14
SpongeBob SquarePants: Game Boy Advance Video Volume 1,0.46,0.17,0,0.01
Gravity Rush,0.26,0.2,0.09,0.1
Konami Collector's Series: Arcade Advanced,0.46,0.17,0,0.01
White Knight Chronicles II,0.23,0.09,0.27,0.05
Wolfenstein,0.25,0.28,0,0.11
Jampack Volume 13 (RP-T),0.31,0.24,0,0.08
LEGO Dimensions,0.22,0.32,0,0.1
Start the Party!,0.07,0.42,0,0.14
Cruis'n World,0.59,0.04,0,0.01
Madden NFL 2001,0.6,0.03,0,0.01
NBA Live 08,0.56,0.02,0.01,0.05
The Walking Dead: Survival Instinct,0.46,0.12,0,0.05
Donkey Kong Barrel Blast,0.2,0.26,0.11,0.06
Okami,0.45,0.1,0.04,0.05
Lemony Snicket's A Series of Unfortunate Events,0.31,0.24,0,0.08
Middle-Earth: Shadow of Mordor,0.2,0.33,0.01,0.1
Family Feud: 2010 Edition,0.59,0,0,0.04
Red Steel 2,0.36,0.21,0.01,0.06
X-Men Legends II: Rise of Apocalypse,0.53,0.02,0,0.09
Nightmare Creatures,0.35,0.24,0,0.04
SingStar Queen,0.08,0.12,0,0.44
Just Dance 2015,0.41,0.16,0,0.06
F1 2013,0.01,0.45,0.03,0.15
Juiced 2: Hot Import Nights,0.22,0.34,0,0.07
Tony Hawk's Pro Skater 2x,0.41,0.19,0,0.03
Sim Theme Park,0.35,0.24,0,0.04
FIFA Soccer 2003,0.2,0.4,0,0.04
Ghostbusters: The Video Game,0.43,0.14,0,0.06
Monster Hunter 2,0,0,0.63,0
NASCAR 06: Total Team Control,0.53,0.02,0,0.09
Tony Hawk's Project 8,0.3,0.23,0.01,0.1
Dogz,0.45,0.17,0,0.01
Disney Universe,0.3,0.23,0,0.09
Guitar Hero: Metallica,0.28,0.24,0,0.1
Iron Man,0.46,0.09,0,0.09
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,0,0,0.63,0
Harry Potter and the Half-Blood Prince,0.21,0.35,0,0.07
A Bug's Life,0.49,0.13,0,0.01
Super Castlevania IV,0.32,0.05,0.25,0.01
DJ Hero 2,0.49,0.09,0,0.04
Angry Birds Trilogy,0.38,0.2,0,0.05
Condemned 2: Bloodshot,0.38,0.19,0,0.06
Cabela's Big Game Hunter (2008),0.58,0,0,0.05
Mobile Suit Z Gundam: AEUG vs. Titans,0,0,0.63,0
Just Dance 3,0.33,0.21,0,0.09
Call of Duty: Black Ops,0.54,0.05,0,0.04
God of War III,0.23,0.29,0.01,0.1
Ape Escape 2,0.12,0.09,0.38,0.03
Metroid Prime: Trilogy,0.43,0.05,0,0.14
X-Man,0.58,0.04,0,0.01
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",0.34,0.23,0,0.06
Advance Wars: Days of Ruin,0.44,0.13,0,0.06
The Sims 3: Generations,0.4,0.23,0,0
The Crew,0.24,0.34,0,0.05
Battle of Giants: Dragons,0.31,0.25,0,0.06
Dragon Quest Monsters Joker 3,0,0,0.63,0
Sonic & All-Stars Racing Transformed,0.2,0.37,0,0.06
Shin Megami Tensei: Persona 3 FES,0.22,0.2,0.16,0.05
FIFA Soccer 2002,0.31,0.24,0,0.08
Shin Megami Tensei: Persona 3 Portable,0.18,0.06,0.34,0.04
Final Fantasy VII International,0,0,0.59,0.04
Tiger Woods PGA Tour 12: The Masters,0.4,0.17,0,0.05
Okami,0.11,0.03,0.15,0.34
NHL 2001,0.35,0.24,0,0.04
World of Zoo,0.41,0.16,0,0.05
LEGO Jurassic World,0.35,0.22,0,0.06
Wet,0.22,0.27,0.01,0.11
MySims Racing,0.26,0.29,0,0.07
Buzz Lightyear of Star Command,0.35,0.24,0,0.04
Namco Museum,0.48,0.13,0,0.02
Nobunaga no Yabou: Haouden,0.3,0,0.32,0
Virtua Cop,0,0,0.62,0
Metal Gear Solid 2: Substance,0.38,0.22,0,0.03
Tony Hawk's American Wasteland,0.4,0.2,0,0.03
WWF in Your House,0.35,0.24,0,0.04
Prince of Persia: The Forgotten Sands,0.3,0.26,0,0.06
Vanquish,0.21,0.22,0.11,0.09
Wild ARMs 3,0.16,0.13,0.29,0.04
NBA ShootOut '97,0.35,0.24,0,0.04
Sacred 2: Fallen Angel,0.22,0.23,0.08,0.09
Madden NFL 07,0.48,0.13,0,0.02
Far Cry 4,0.15,0.42,0,0.05
Battlezone,0.58,0.03,0,0.01
Tiger Woods PGA Tour 2004,0.47,0.13,0,0.02
LEGO Pirates of the Caribbean: The Video Game,0.29,0.28,0,0.06
Pro Evolution Soccer 2015,0.1,0.23,0.22,0.08
Evolve,0.36,0.2,0,0.06
Tak 2: The Staff of Dreams,0.3,0.24,0,0.08
Dead Island: Riptide,0.26,0.2,0.07,0.09
Warriors Orochi 3,0,0.04,0.57,0.01
Bolt,0.35,0.21,0,0.06
Viewtiful Joe,0.38,0.1,0.12,0.02
The Urbz: Sims in the City,0.37,0.22,0,0.03
Beetle Adventure Racing!,0.4,0.2,0,0.02
FIFA Soccer,0.17,0.34,0.02,0.09
Disney's 102 Dalmatians: Puppies to the Rescue,0.34,0.23,0,0.04
Wipeout: The Game,0.58,0,0,0.04
Strike Force Bowling,0.3,0.24,0,0.08
SpongeBob's Atlantis SquarePantis,0.57,0.01,0,0.04
Metal Gear Solid V: Ground Zeroes,0.14,0.14,0.27,0.06
Halloween,0.58,0.03,0,0.01
Dragon Ball Z: Ultimate Tenkaichi,0.27,0.18,0.09,0.08
WWE SmackDown vs. Raw 2010,0.25,0.23,0,0.14
Bass Landing,0.21,0.14,0.23,0.04
XGRA: Extreme G-Racing Association,0.3,0.24,0,0.08
Mario's Picross,0,0,0.62,0
Pac-Man Player's Choice Bundle,0.48,0.12,0,0.02
Rocksmith 2014,0.34,0.17,0,0.11
Fighters MEGAMiX,0,0,0.62,0
Bahamut Lagoon,0,0,0.62,0
Wall-E,0.29,0.26,0,0.07
Tomb Raider III: Adventures of Lara Croft,0.59,0.03,0,0
Toshochu: Run for Money,0,0,0.62,0
Dragon Quest Monsters: Joker 2 Professional,0,0,0.62,0
NFL Quarterback Club 99,0.59,0.02,0,0
Super Robot Taisen α Gaiden,0,0,0.58,0.04
Formula 1: Championship Edition,0,0.57,0.04,0
Muramasa: The Demon Blade,0.33,0.13,0.11,0.04
NBA 2K9,0.56,0,0,0.05
SingStar Singalong With Disney,0,0.04,0,0.57
NHL 16,0.35,0.15,0,0.11
Plants vs. Zombies: Garden Warfare,0.21,0.29,0.01,0.11
NFL Fever 2003,0.46,0.13,0,0.02
Samurai Warriors 2,0.02,0.02,0.57,0.01
Dynasty Warriors 8,0.12,0.11,0.34,0.05
Disney Sing It: Family Hits,0.39,0.18,0,0.05
2 Games in 1: Sonic Battle & ChuChu Rocket!,0.44,0.16,0,0.01
Robotech: Battlecry,0.3,0.23,0,0.08
Dora the Explorer: Super Spies,0.44,0.16,0,0.01
New Carnival Games,0.35,0.21,0,0.05
Tony Hawk: RIDE,0.46,0.1,0,0.05
Just Dance 2014,0.33,0.23,0,0.05
Cooking Mama 4: Kitchen Magic!,0.5,0.07,0,0.04
Texas Hold 'Em Poker,0.44,0.16,0,0.01
Time Crisis 3,0.3,0.23,0,0.08
Cabela's Monster Buck Hunter,0.58,0,0,0.03
Ganbaru Watashi no Kakei Diary,0,0,0.61,0
pro evolution soccer 2011,0.09,0.44,0,0.07
New Play Control! Donkey Kong Jungle Beat,0.24,0.17,0.14,0.05
Small Soldiers,0.34,0.23,0,0.04
Yakuza: Dead Souls,0.09,0.07,0.42,0.03
